species;zone;protection;site;size;fid;;;;;;;
C.variegatus;South;ECIM;Reserva M;Big;129;;;;;;;
C.variegatus;South;ECIM;Reserva M;Big;45;;;;;;;
C.variegatus;South;ECIM;Reserva M;Big;130;;;;;;;
C.variegatus;South;ECIM;Reserva M;Big;40;;;;;;;
C.variegatus;South;ECIM;Reserva M;Big;56;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;73;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;45;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;34;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;61;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;65;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;66;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;74;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;73;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;92;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;107;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;98;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;78;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;98;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;72;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;78;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;78;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;143;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;138;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;133;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;110;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;130;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;70;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;50;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;80;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;120;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;130;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;100;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;90;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;70;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;110;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;110;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;27;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;119;;;;;;;
C.variegatus;South;ECIM;Reserva M;Medium;132;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;66;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;35;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;37;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;53;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;68;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;71;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;81;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;73;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;105;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;47;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;108;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;40;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;30;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;70;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;80;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;100;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;40;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;50;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;20;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;30;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;40;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;20;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;40;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;45;;;;;;;
C.variegatus;South;ECIM;Reserva M;Small;48;;;;;;;
